47879,43374,-,47558,43053,-
44343,47810,+,44022,47489,+
125440,122192,-,126349,123101,-
17862,14872,-,17587,14597,-
114833,118030,+,115748,118945,+
41562,44288,+,41241,43967,+
120371,117567,-,121286,118482,-
116962,114833,-,117877,115748,-
119854,117242,-,120769,118157,-
120136,122109,+,121051,123024,+
106984,109335,+,107946,110297,+
41187,39478,-,40867,39158,-
46096,47880,+,45775,47559,+
9645,7990,-,8161,6506,-
43322,41562,-,43001,41241,-
117811,119511,+,118726,120426,+
114833,113289,-,115750,114206,-
38025,36388,-,37723,36086,-
122198,123928,+,123107,124837,+
102674,104425,+,103638,105389,+
98337,96592,-,99285,97540,-
117768,119381,+,118683,120296,+
110129,111838,+,111061,112770,+
104383,102686,-,105347,103650,-
34959,36383,+,34660,36084,+
44287,42794,-,43966,42473,-
8457,9956,+,6973,8472,+
111841,110408,-,112773,111340,-
122108,120750,-,123023,121665,-
93693,92305,-,94394,93006,-
116256,117713,+,117171,118628,+
36383,34974,-,36084,34675,-
120366,118843,-,121281,119758,-
100064,98661,-,100999,99596,-
114492,113062,-,115409,113979,-
21947,20646,-,21651,20350,-
98695,100068,+,99630,101003,+
20619,22148,+,20323,21852,+
65877,64570,-,65323,64016,-
65864,64569,-,65310,64015,-
120768,122108,+,121683,123023,+
108210,106843,-,109172,107805,-
114834,116183,+,115749,117098,+
104406,103111,-,105370,104075,-
92306,93691,+,93007,94392,+
109905,111155,+,110837,112087,+
92302,93696,+,93003,94397,+
139750,140979,+,140227,141456,+
102673,104178,+,103637,105142,+
98534,97191,-,99482,98139,-
124124,122679,-,125033,123588,-
107543,108817,+,108505,109779,+
98539,97313,-,99487,98261,-
6212,4980,-,4717,3485,-
108519,109883,+,109481,110845,+
113463,114833,+,114380,115750,+
22899,21622,-,22603,21326,-
140978,139752,-,141455,140229,-
44325,42976,-,44004,42655,-
116034,114832,-,116949,115747,-
107977,106661,-,108939,107623,-
114832,113390,-,115749,114307,-
110710,112071,+,111642,113003,+
121614,120406,-,122529,121321,-
49051,47888,-,48727,47564,-
113078,111786,-,114010,112718,-
44806,46047,+,44485,45726,+
102687,103967,+,103651,104931,+
97341,98540,+,98289,99488,+
79373,80476,+,77092,78195,+
42818,43978,+,42497,43657,+
64806,65951,+,64252,65397,+
18378,19427,+,18109,19158,+
123980,125443,+,124889,126352,+
9962,8913,-,8478,7429,-
8906,9973,+,7422,8489,+
54356,55372,+,54005,55021,+
36383,37447,+,36081,37145,+
54061,53192,-,53711,52842,-
127766,128635,+,53711,52842,-
54061,53192,-,128679,129548,+
127766,128635,+,128679,129548,+
73976,75229,+,72539,73792,+
128636,127767,-,129549,128680,-
53191,54060,+,129549,128680,-
128636,127767,-,52841,53710,+
53191,54060,+,52841,53710,+
43483,44574,+,43162,44253,+
113061,112024,-,113993,112956,-
94037,95104,+,94746,95813,+
125441,124164,-,126350,125073,-
75194,74010,-,73757,72573,-
95101,94052,-,95810,94761,-
109334,108276,-,110296,109238,-
36391,37446,+,36089,37144,+
73703,72654,-,72265,71216,-
80397,79372,-,78116,77091,-
70125,71219,+,68720,69814,+
54059,53190,-,53709,52840,-
127768,128637,+,53709,52840,-
54059,53190,-,128681,129550,+
127768,128637,+,128681,129550,+
46843,45827,-,46522,45506,-
79387,80454,+,77106,78173,+
9412,8450,-,7928,6966,-
104627,103578,-,105591,104542,-
36390,37427,+,36088,37125,+
47880,46876,-,47559,46555,-
95102,94026,-,95811,94735,-
16958,17860,+,16683,17585,+
122107,121148,-,123022,122063,-
64567,65550,+,64013,64996,+
53197,52385,-,52848,52036,-
128630,129442,+,52848,52036,-
53197,52385,-,129542,130354,+
128630,129442,+,129542,130354,+
123270,122209,-,124179,123118,-
106533,105439,-,107495,106401,-
86854,85979,-,85239,84364,-
7990,8970,+,6506,7486,+
34975,35994,+,34676,35695,+
22015,22902,+,21719,22606,+
94035,95069,+,94744,95778,+
22901,22014,-,22605,21718,-
19494,18397,-,19225,18128,-
67194,66112,-,66637,65555,-
70748,69786,-,69343,68381,-
108923,109888,+,109885,110850,+
94096,95103,+,94805,95812,+
106603,105494,-,107565,106456,-
14172,15002,+,13897,14727,+
41561,42622,+,41240,42301,+
111749,110709,-,112681,111641,-
140742,139750,-,141219,140227,-
80104,79010,-,77823,76729,-
53187,52384,-,52838,52035,-
128640,129443,+,52838,52035,-
53187,52384,-,129552,130355,+
128640,129443,+,129552,130355,+
98844,99881,+,99779,100816,+
35291,36271,+,34992,35972,+
104070,104984,+,105034,105948,+
63533,64543,+,62982,63992,+
85983,86858,+,84368,85243,+
53189,52422,-,52840,52073,-
128638,129405,+,52840,52073,-
98657,99622,+,99592,100557,+
53189,52422,-,129550,130317,+
128638,129405,+,129550,130317,+
125724,126782,+,126630,127688,+
107466,108473,+,108428,109435,+
105727,106614,+,106689,107576,+
115114,116007,+,116029,116922,+
108206,107079,-,109168,108041,-
85958,86854,+,84343,85239,+
129442,128666,-,130354,129578,-
52385,53161,+,130354,129578,-
